EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
9,100,2.86035e-06,349608,2.57431e-05,265217,3.49608e+07
10,100,3.19648e-06,312844,3.19648e-05,225366,3.12844e+07
11,100,2.92701e-06,341646,3.21971e-05,244799,3.41646e+07
12,100,3.61672e-06,276494,4.34006e-05,182391,2.76494e+07
13,100,3.42789e-06,291725,4.45625e-05,200443,2.91725e+07
14,100,2.25889e-06,442695,3.16244e-05,318629,4.42695e+07
15,100,2.03926e-06,490373,3.0589e-05,353078,4.90373e+07
16,100,2.83618e-06,352587,4.53789e-05,230766,3.52587e+07
17,100,2.3168e-06,431630,3.93856e-05,281288,4.3163e+07
18,100,2.59424e-06,385470,4.66962e-05,251404,3.8547e+07
19,100,3.40701e-06,293512,6.47332e-05,178256,2.93512e+07
20,100,2.54346e-06,393165,5.08693e-05,236045,3.93165e+07
21,100,3.33755e-06,299621,7.00886e-05,173862,2.99621e+07
22,100,2.89258e-06,345712,6.36368e-05,200394,3.45712e+07
23,100,4.27531e-06,233901,9.83321e-05,131562,2.33901e+07
24,100,3.05471e-06,327363,7.33131e-05,194902,3.27363e+07
25,100,2.77226e-06,360717,6.93065e-05,207403,3.60717e+07
26,100,2.8233e-06,354195,7.34058e-05,203779,3.54195e+07
27,100,3.13392e-06,319089,8.46158e-05,181494,3.19089e+07
28,100,2.74388e-06,364447,7.68287e-05,214388,3.64447e+07
29,100,3.20446e-06,312065,9.29294e-05,178919,3.12065e+07
30,100,3.02685e-06,330376,9.08056e-05,183448,3.30376e+07
31,100,3.37374e-06,296407,0.000104586,161002,2.96407e+07
32,100,3.24046e-06,308598,0.000103695,164063,3.08598e+07
33,100,3.08169e-06,324498,0.000101696,174709,3.24498e+07
34,100,2.90612e-06,344101,9.88081e-05,186701,3.44101e+07
35,100,3.18367e-06,314102,0.000111429,168704,3.14102e+07
36,100,3.11602e-06,320922,0.000112177,182377,3.20922e+07
37,100,3.15855e-06,316601,0.000116866,169821,3.16601e+07
38,100,3.3446e-06,298989,0.000127095,159789,2.98989e+07
39,100,3.04157e-06,328778,0.000118621,175058,3.28778e+07
40,100,3.177e-06,314763,0.00012708,163070,3.14763e+07
41,100,3.0871e-06,323929,0.000126571,167453,3.23929e+07
42,100,3.1724e-06,315219,0.000133241,172342,3.15219e+07
43,100,3.43049e-06,291503,0.000147511,154385,2.91503e+07
44,100,4.1112e-06,243238,0.000180893,138903,2.43238e+07
45,100,3.19696e-06,312797,0.000143863,164061,3.12797e+07
46,100,3.6629e-06,273008,0.000168493,149815,2.73008e+07
47,100,3.37714e-06,296109,0.000158726,154805,2.96109e+07
48,100,3.28388e-06,304518,0.000157626,167617,3.04518e+07
49,100,3.32213e-06,301012,0.000162784,160756,3.01012e+07
50,100,3.54477e-06,282106,0.000177239,146462,2.82106e+07
51,100,3.10116e-06,322460,0.000158159,172385,3.2246e+07
52,100,3.36959e-06,296772,0.000175219,155334,2.96772e+07
53,100,3.29353e-06,303626,0.000174557,164669,3.03626e+07
54,100,3.77513e-06,264891,0.000203857,142722,2.64891e+07
55,100,3.62047e-06,276207,0.000199126,143362,2.76207e+07
56,100,2.9108e-06,343548,0.000163005,191851,3.43548e+07
57,100,3.62287e-06,276024,0.000206504,144903,2.76024e+07
58,100,3.45105e-06,289767,0.000200161,149542,2.89767e+07
59,100,2.78161e-06,359504,0.000164115,205630,3.59504e+07
60,100,3.03673e-06,329302,0.000182204,177810,3.29302e+07
61,100,3.18024e-06,314442,0.000193995,165743,3.14442e+07
62,100,3.31544e-06,301619,0.000205557,157288,3.01619e+07
63,100,3.28531e-06,304385,0.000206975,166211,3.04385e+07
64,100,3.21882e-06,310673,0.000206005,168550,3.10673e+07
65,100,4.22421e-06,236730,0.000274574,124105,2.3673e+07
66,100,3.62331e-06,275990,0.000239139,144363,2.7599e+07
67,100,3.30681e-06,302406,0.000221556,173150,3.02406e+07
68,100,3.48718e-06,286765,0.000237128,156224,2.86765e+07
69,100,3.16832e-06,315625,0.000218614,165280,3.15625e+07
70,100,3.22101e-06,310462,0.000225471,161871,3.10462e+07
71,100,3.64474e-06,274368,0.000258777,141611,2.74368e+07
72,100,3.02087e-06,331030,0.000217503,187153,3.3103e+07
73,100,3.36061e-06,297565,0.000245325,161020,2.97565e+07
74,100,2.97573e-06,336052,0.000220204,176939,3.36052e+07
75,100,3.64819e-06,274109,0.000273614,140817,2.74109e+07
76,100,3.70834e-06,269662,0.000281834,137915,2.69662e+07
77,100,2.95265e-06,338678,0.000227354,203650,3.38678e+07
78,100,3.35502e-06,298061,0.000261692,160491,2.98061e+07
79,100,2.54622e-06,392739,0.000201151,217036,3.92739e+07
80,100,2.87428e-06,347913,0.000229942,182255,3.47913e+07
81,100,2.96951e-06,336756,0.00024053,174973,3.36756e+07
82,100,3.1065e-06,321906,0.000254733,166184,3.21906e+07
83,100,3.34416e-06,299029,0.000277565,153715,2.99029e+07
84,100,2.68284e-06,372739,0.000225359,217884,3.72739e+07
85,100,3.09377e-06,323230,0.000262971,178940,3.2323e+07
86,100,3.24347e-06,308312,0.000278939,173000,3.08312e+07
87,100,3.53586e-06,282817,0.00030762,150425,2.82817e+07
88,100,3.02983e-06,330052,0.000266625,174901,3.30052e+07
89,100,3.05372e-06,327469,0.000271781,166521,3.27469e+07
90,100,3.43363e-06,291237,0.000309026,148251,2.91237e+07
91,100,2.52243e-06,396443,0.000229541,250046,3.96443e+07
92,100,2.91419e-06,343149,0.000268105,198697,3.43149e+07
93,100,2.85068e-06,350794,0.000265113,203190,3.50794e+07
94,100,2.47625e-06,403837,0.000232767,221724,4.03837e+07
95,100,3.03462e-06,329531,0.000288288,177320,3.29531e+07
96,100,3.43298e-06,291292,0.000329566,155094,2.91292e+07
97,100,2.85108e-06,350744,0.000276555,182345,3.50744e+07
98,100,3.01236e-06,331966,0.000295211,171722,3.31966e+07
99,100,3.33237e-06,300087,0.000329905,154991,3.00087e+07
100,100,2.97717e-06,335889,0.000297717,168105,3.35889e+07
1,100,0.000119957,8336.35,0.000119957,1774.2,833635
2,100,0.000187929,5321.15,0.000375859,2162.3,532115
3,100,0.000213263,4689.05,0.000639788,2301.62,468905
4,100,0.000343755,2909.05,0.00137502,1532.78,290905
5,100,0.000305335,3275.09,0.00152668,1721.38,327509
6,100,0.000268622,3722.71,0.00161173,1798.39,372271
7,100,0.00044309,2256.88,0.00310163,1012.32,225688
8,100,0.000246854,4050.97,0.00197484,1996.02,405097
9,100,0.00040687,2457.79,0.00366183,1144.13,245779
10,100,0.000262548,3808.83,0.00262548,1619.98,380883
11,100,0.000255939,3907.18,0.00281533,2047.49,390718
12,100,0.000314995,3174.65,0.00377994,1575.11,317465
13,100,0.00029079,3438.91,0.00378027,1920.12,343891
14,100,0.000313691,3187.85,0.00439167,1725.23,318785
15,100,0.000240733,4153.98,0.00361099,1999.37,415398
16,100,0.000278799,3586.81,0.00446079,1693.74,358681
17,100,0.000202445,4939.61,0.00344157,1830.92,493961
18,100,0.000273088,3661.82,0.00491559,1815.69,366182
19,100,0.000210564,4749.15,0.00400072,2378.59,474915
20,100,0.000258899,3862.51,0.00517798,1603.62,386251
21,100,0.000284839,3510.76,0.00598161,1767.4,351076
