EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
1,100,1.51709e-06,659157,1.51709e-06,659151,6.59157e+07
2,100,1.88334e-06,530971,3.76668e-06,530787,5.30971e+07
3,100,2.09137e-06,478154,6.27412e-06,477303,4.78154e+07
